time,AHL,LasR_mRNA,LasR,GFP_mRNA,GFP,LasR.AHL,IPTG_LasR
1538.0,1e-09,10.7283937082,4348.41014991,1.17517864352e-05,0.000343538495249,60.2755484065,-7.10752626415e-05
1538.1,1e-09,10.7283945396,4348.54406602,1.17517873988e-05,0.000343538706099,60.2825059699,-7.10789432933e-05
1538.2,1e-09,10.7283953705,4348.67796664,1.17517883618e-05,0.000343538916838,60.2894637475,-7.10826237703e-05
1538.3,1e-09,10.728396201,4348.81185178,1.17517893243e-05,0.000343539127465,60.2964217394,-7.10863040725e-05
1538.4,1e-09,10.7283970309,4348.94572144,1.17517902862e-05,0.000343539337981,60.3033799455,-7.10899841999e-05
1538.5,1e-09,10.7283978604,4349.07957562,1.17517912475e-05,0.000343539548386,60.3103383657,-7.10936641526e-05
1538.6,1e-09,10.7283986894,4349.21341432,1.17517922083e-05,0.00034353975868,60.3172970001,-7.10973439305e-05
1538.7,1e-09,10.7283995179,4349.34723755,1.17517931686e-05,0.000343539968862,60.3242558486,-7.11010235337e-05
1538.8,1e-09,10.728400346,4349.4810453,1.17517941283e-05,0.000343540178934,60.3312149112,-7.11047029622e-05
1538.9,1e-09,10.7284011735,4349.61483759,1.17517950874e-05,0.000343540388895,60.338174188,-7.1108382216e-05
1539.0,1e-09,10.7284020006,4349.7486144,1.1751796046e-05,0.000343540598744,60.3451336787,-7.11120612951e-05
1539.1,1e-09,10.7284028272,4349.88237575,1.1751797004e-05,0.000343540808483,60.3520933835,-7.11157401995e-05
1539.2,1e-09,10.7284036533,4350.01612163,1.17517979614e-05,0.000343541018111,60.3590533023,-7.11194189293e-05
1539.3,1e-09,10.728404479,4350.14985204,1.17517989183e-05,0.000343541227628,60.3660134351,-7.11230974845e-05
1539.4,1e-09,10.7284053041,4350.283567,1.17517998747e-05,0.000343541437035,60.3729737818,-7.1126775865e-05
1539.5,1e-09,10.7284061288,4350.41726649,1.17518008305e-05,0.00034354164633,60.3799343425,-7.11304540709e-05
1539.6,1e-09,10.728406953,4350.55095052,1.17518017857e-05,0.000343541855516,60.3868951171,-7.11341321023e-05
1539.7,1e-09,10.7284077768,4350.6846191,1.17518027404e-05,0.00034354206459,60.3938561055,-7.11378099591e-05
1539.8,1e-09,10.7284086,4350.81827221,1.17518036946e-05,0.000343542273555,60.4008173079,-7.11414876413e-05
1539.9,1e-09,10.7284094228,4350.95190988,1.17518046481e-05,0.000343542482409,60.407778724,-7.1145165149e-05
1540.0,1e-09,10.7284102451,4351.08553209,1.17518056012e-05,0.000343542691152,60.414740354,-7.11488424821e-05
1540.1,1e-09,10.7284110669,4351.21913886,1.17518065536e-05,0.000343542899785,60.4217021977,-7.11525196408e-05
1540.2,1e-09,10.7284118882,4351.35273017,1.17518075056e-05,0.000343543108308,60.4286642552,-7.11561966249e-05
1540.3,1e-09,10.7284127091,4351.48630604,1.17518084569e-05,0.000343543316721,60.4356265264,-7.11598734346e-05
1540.4,1e-09,10.7284135295,4351.61986646,1.17518094077e-05,0.000343543525024,60.4425890114,-7.11635500698e-05
1540.5,1e-09,10.7284143494,4351.75341144,1.1751810358e-05,0.000343543733217,60.44955171,-7.11672265306e-05
1540.6,1e-09,10.7284151689,4351.88694098,1.17518113077e-05,0.000343543941299,60.4565146223,-7.11709028169e-05
1540.7,1e-09,10.7284159878,4352.02045508,1.17518122569e-05,0.000343544149272,60.4634777482,-7.11745789289e-05
1540.8,1e-09,10.7284168063,4352.15395374,1.17518132055e-05,0.000343544357135,60.4704410877,-7.11782548664e-05
1540.9,1e-09,10.7284176243,4352.28743696,1.17518141536e-05,0.000343544564888,60.4774046408,-7.11819306295e-05
1541.0,1e-09,10.7284184419,4352.42090475,1.17518151011e-05,0.000343544772531,60.4843684075,-7.11856062183e-05
1541.1,1e-09,10.7284192589,4352.5543571,1.17518160481e-05,0.000343544980064,60.4913323877,-7.11892816327e-05
1541.2,1e-09,10.7284200755,4352.68779403,1.17518169945e-05,0.000343545187488,60.4982965814,-7.11929568728e-05
1541.3,1e-09,10.7284208916,4352.82121553,1.17518179403e-05,0.000343545394802,60.5052609887,-7.11966319386e-05
1541.4,1e-09,10.7284217073,4352.95462159,1.17518188857e-05,0.000343545602007,60.5122256093,-7.120030683e-05
1541.5,1e-09,10.7284225225,4353.08801224,1.17518198304e-05,0.000343545809102,60.5191904434,-7.12039815472e-05
1541.6,1e-09,10.7284233372,4353.22138746,1.17518207747e-05,0.000343546016088,60.526155491,-7.12076560901e-05
1541.7,1e-09,10.7284241514,4353.35474725,1.17518217183e-05,0.000343546222964,60.5331207519,-7.12113304587e-05
1541.8,1e-09,10.7284249651,4353.48809163,1.17518226615e-05,0.000343546429731,60.5400862261,-7.12150046531e-05
1541.9,1e-09,10.7284257784,4353.62142059,1.17518236041e-05,0.000343546636389,60.5470519137,-7.12186786732e-05
1542.0,1e-09,10.7284265912,4353.75473413,1.17518245461e-05,0.000343546842937,60.5540178147,-7.12223525192e-05
1542.1,1e-09,10.7284274036,4353.88803225,1.17518254876e-05,0.000343547049377,60.5609839289,-7.12260261909e-05
1542.2,1e-09,10.7284282155,4354.02131497,1.17518264285e-05,0.000343547255707,60.5679502564,-7.12296996885e-05
1542.3,1e-09,10.7284290269,4354.15458227,1.17518273689e-05,0.000343547461928,60.5749167971,-7.12333730119e-05
1542.4,1e-09,10.7284298378,4354.28783416,1.17518283088e-05,0.000343547668041,60.581883551,-7.12370461612e-05
1542.5,1e-09,10.7284306482,4354.42107064,1.17518292481e-05,0.000343547874044,60.5888505182,-7.12407191363e-05
1542.6,1e-09,10.7284314582,4354.55429172,1.17518301869e-05,0.000343548079939,60.5958176984,-7.12443919373e-05
1542.7,1e-09,10.7284322677,4354.68749739,1.17518311251e-05,0.000343548285724,60.6027850919,-7.12480645642e-05
1542.8,1e-09,10.7284330768,4354.82068766,1.17518320627e-05,0.000343548491401,60.6097526984,-7.1251737017e-05
1542.9,1e-09,10.7284338854,4354.95386253,1.17518329999e-05,0.000343548696969,60.6167205181,-7.12554092957e-05
1543.0,1e-09,10.7284346935,4355.08702199,1.17518339365e-05,0.000343548902429,60.6236885508,-7.12590814004e-05
1543.1,1e-09,10.7284355011,4355.22016607,1.17518348725e-05,0.00034354910778,60.6306567965,-7.1262753331e-05
1543.2,1e-09,10.7284363083,4355.35329474,1.1751835808e-05,0.000343549313022,60.6376252553,-7.12664250876e-05
1543.3,1e-09,10.728437115,4355.48640802,1.1751836743e-05,0.000343549518156,60.6445939271,-7.12700966702e-05
1543.4,1e-09,10.7284379213,4355.61950591,1.17518376774e-05,0.000343549723182,60.6515628118,-7.12737680788e-05
1543.5,1e-09,10.728438727,4355.75258841,1.17518386113e-05,0.000343549928099,60.6585319095,-7.12774393134e-05
1543.6,1e-09,10.7284395323,4355.88565552,1.17518395446e-05,0.000343550132908,60.6655012201,-7.12811103741e-05
1543.7,1e-09,10.7284403372,4356.01870724,1.17518404774e-05,0.000343550337609,60.6724707436,-7.12847812608e-05
1543.8,1e-09,10.7284411415,4356.15174358,1.17518414097e-05,0.000343550542201,60.6794404799,-7.12884519736e-05
1543.9,1e-09,10.7284419454,4356.28476454,1.17518423414e-05,0.000343550746686,60.6864104291,-7.12921225124e-05
1544.0,1e-09,10.7284427489,4356.41777011,1.17518432725e-05,0.000343550951062,60.6933805912,-7.12957928774e-05
1544.1,1e-09,10.7284435519,4356.5507603,1.17518442032e-05,0.00034355115533,60.700350966,-7.12994630685e-05
1544.2,1e-09,10.7284443544,4356.68373511,1.17518451333e-05,0.000343551359491,60.7073215536,-7.13031330857e-05
1544.3,1e-09,10.7284451564,4356.81669455,1.17518460628e-05,0.000343551563543,60.7142923539,-7.1306802929e-05
1544.4,1e-09,10.728445958,4356.94963862,1.17518469918e-05,0.000343551767488,60.721263367,-7.13104725985e-05
1544.5,1e-09,10.7284467591,4357.08256731,1.17518479203e-05,0.000343551971324,60.7282345928,-7.13141420942e-05
1544.6,1e-09,10.7284475597,4357.21548063,1.17518488482e-05,0.000343552175053,60.7352060312,-7.13178114161e-05
1544.7,1e-09,10.7284483599,4357.34837857,1.17518497756e-05,0.000343552378675,60.7421776823,-7.13214805642e-05
1544.8,1e-09,10.7284491596,4357.48126116,1.17518507025e-05,0.000343552582188,60.749149546,-7.13251495385e-05
1544.9,1e-09,10.7284499589,4357.61412837,1.17518516288e-05,0.000343552785594,60.7561216223,-7.1328818339e-05
1545.0,1e-09,10.7284507577,4357.74698022,1.17518525546e-05,0.000343552988893,60.7630939112,-7.13324869658e-05
1545.1,1e-09,10.728451556,4357.87981671,1.17518534799e-05,0.000343553192084,60.7700664127,-7.13361554189e-05
1545.2,1e-09,10.7284523539,4358.01263784,1.17518544046e-05,0.000343553395168,60.7770391266,-7.13398236983e-05
1545.3,1e-09,10.7284531513,4358.14544361,1.17518553288e-05,0.000343553598144,60.7840120531,-7.13434918039e-05
1545.4,1e-09,10.7284539482,4358.27823403,1.17518562524e-05,0.000343553801013,60.790985192,-7.13471597359e-05
1545.5,1e-09,10.7284547447,4358.41100908,1.17518571755e-05,0.000343554003775,60.7979585434,-7.13508274942e-05
1545.6,1e-09,10.7284555407,4358.54376879,1.17518580981e-05,0.00034355420643,60.8049321073,-7.13544950788e-05
1545.7,1e-09,10.7284563363,4358.67651314,1.17518590201e-05,0.000343554408978,60.8119058835,-7.13581624898e-05
1545.8,1e-09,10.7284571314,4358.80924214,1.17518599416e-05,0.000343554611418,60.8188798721,-7.13618297272e-05
1545.9,1e-09,10.728457926,4358.94195579,1.17518608626e-05,0.000343554813752,60.8258540731,-7.1365496791e-05
1546.0,1e-09,10.7284587202,4359.0746541,1.1751861783e-05,0.000343555015978,60.8328284863,-7.13691636812e-05
1546.1,1e-09,10.7284595139,4359.20733706,1.17518627029e-05,0.000343555218098,60.8398031119,-7.13728303978e-05
1546.2,1e-09,10.7284603072,4359.34000468,1.17518636223e-05,0.000343555420111,60.8467779498,-7.13764969409e-05
1546.3,1e-09,10.7284610999,4359.47265696,1.17518645411e-05,0.000343555622017,60.8537529999,-7.13801633104e-05
1546.4,1e-09,10.7284618923,4359.6052939,1.17518654594e-05,0.000343555823816,60.8607282623,-7.13838295064e-05
1546.5,1e-09,10.7284626841,4359.7379155,1.17518663772e-05,0.000343556025508,60.8677037369,-7.13874955289e-05
1546.6,1e-09,10.7284634756,4359.87052176,1.17518672944e-05,0.000343556227094,60.8746794236,-7.13911613778e-05
1546.7,1e-09,10.7284642665,4360.00311269,1.17518682111e-05,0.000343556428574,60.8816553225,-7.13948270533e-05
1546.8,1e-09,10.728465057,4360.13568829,1.17518691273e-05,0.000343556629947,60.8886314336,-7.13984925554e-05
1546.9,1e-09,10.7284658471,4360.26824855,1.17518700429e-05,0.000343556831213,60.8956077567,-7.14021578839e-05
1547.0,1e-09,10.7284666366,4360.40079349,1.1751870958e-05,0.000343557032373,60.902584292,-7.14058230391e-05
1547.1,1e-09,10.7284674258,4360.5333231,1.17518718726e-05,0.000343557233427,60.9095610393,-7.14094880208e-05
1547.2,1e-09,10.7284682144,4360.66583738,1.17518727867e-05,0.000343557434374,60.9165379986,-7.14131528291e-05
1547.3,1e-09,10.7284690026,4360.79833634,1.17518737002e-05,0.000343557635215,60.9235151699,-7.1416817464e-05
1547.4,1e-09,10.7284697904,4360.93081998,1.17518746132e-05,0.00034355783595,60.9304925533,-7.14204819256e-05
1547.5,1e-09,10.7284705777,4361.0632883,1.17518755256e-05,0.000343558036579,60.9374701485,-7.14241462138e-05
1547.6,1e-09,10.7284713645,4361.1957413,1.17518764376e-05,0.000343558237102,60.9444479558,-7.14278103286e-05
1547.7,1e-09,10.7284721509,4361.32817898,1.1751877349e-05,0.000343558437519,60.9514259749,-7.14314742702e-05
1547.8,1e-09,10.7284729368,4361.46060135,1.17518782598e-05,0.00034355863783,60.9584042059,-7.14351380384e-05
1547.9,1e-09,10.7284737223,4361.5930084,1.17518791702e-05,0.000343558838035,60.9653826488,-7.14388016333e-05
1548.0,1e-09,10.7284745073,4361.72540014,1.175188008e-05,0.000343559038134,60.9723613036,-7.14424650549e-05
1548.1,1e-09,10.7284752918,4361.85777657,1.17518809893e-05,0.000343559238127,60.9793401701,-7.14461283033e-05
1548.2,1e-09,10.728476076,4361.9901377,1.1751881898e-05,0.000343559438015,60.9863192484,-7.14497913784e-05
1548.3,1e-09,10.7284768596,4362.12248351,1.17518828063e-05,0.000343559637796,60.9932985385,-7.14534542803e-05
1548.4,1e-09,10.7284776428,4362.25481403,1.1751883714e-05,0.000343559837473,61.0002780404,-7.1457117009e-05
1548.5,1e-09,10.7284784255,4362.38712924,1.17518846212e-05,0.000343560037043,61.0072577539,-7.14607795644e-05
1548.6,1e-09,10.7284792078,4362.51942915,1.17518855278e-05,0.000343560236508,61.0142376792,-7.14644419467e-05
1548.7,1e-09,10.7284799897,4362.65171376,1.1751886434e-05,0.000343560435868,61.0212178161,-7.14681041558e-05
1548.8,1e-09,10.728480771,4362.78398307,1.17518873396e-05,0.000343560635122,61.0281981647,-7.14717661918e-05
1548.9,1e-09,10.728481552,4362.91623708,1.17518882446e-05,0.000343560834271,61.0351787248,-7.14754280546e-05
1549.0,1e-09,10.7284823324,4363.04847581,1.17518891492e-05,0.000343561033315,61.0421594966,-7.14790897442e-05
1549.1,1e-09,10.7284831125,4363.18069924,1.17518900532e-05,0.000343561232253,61.0491404799,-7.14827512608e-05
1549.2,1e-09,10.728483892,4363.31290738,1.17518909567e-05,0.000343561431086,61.0561216748,-7.14864126043e-05
1549.3,1e-09,10.7284846711,4363.44510023,1.17518918597e-05,0.000343561629815,61.0631030812,-7.14900737747e-05
1549.4,1e-09,10.7284854498,4363.57727779,1.17518927622e-05,0.000343561828437,61.0700846991,-7.1493734772e-05
1549.5,1e-09,10.728486228,4363.70944007,1.17518936641e-05,0.000343562026955,61.0770665285,-7.14973955963e-05
1549.6,1e-09,10.7284870058,4363.84158706,1.17518945655e-05,0.000343562225368,61.0840485693,-7.15010562475e-05
1549.7,1e-09,10.7284877831,4363.97371877,1.17518954664e-05,0.000343562423677,61.0910308216,-7.15047167258e-05
1549.8,1e-09,10.72848856,4364.1058352,1.17518963668e-05,0.00034356262188,61.0980132852,-7.1508377031e-05
1549.9,1e-09,10.7284893364,4364.23793636,1.17518972666e-05,0.000343562819978,61.1049959603,-7.15120371633e-05
1550.0,1e-09,10.7284901123,4364.37002223,1.1751898166e-05,0.000343563017972,61.1119788466,-7.15156971225e-05
1550.1,1e-09,10.7284908878,4364.50209284,1.17518990648e-05,0.000343563215861,61.1189619443,-7.15193569088e-05
1550.2,1e-09,10.7284916629,4364.63414817,1.1751899963e-05,0.000343563413645,61.1259452533,-7.15230165222e-05
1550.3,1e-09,10.7284924375,4364.76618822,1.17519008608e-05,0.000343563611325,61.1329287736,-7.15266759627e-05
1550.4,1e-09,10.7284932117,4364.89821301,1.17519017581e-05,0.0003435638089,61.1399125051,-7.15303352302e-05
1550.5,1e-09,10.7284939854,4365.03022253,1.17519026548e-05,0.000343564006371,61.1468964479,-7.15339943249e-05
1550.6,1e-09,10.7284947586,4365.16221678,1.1751903551e-05,0.000343564203737,61.1538806018,-7.15376532466e-05
1550.7,1e-09,10.7284955315,4365.29419577,1.17519044467e-05,0.000343564400999,61.1608649669,-7.15413119955e-05
1550.8,1e-09,10.7284963038,4365.4261595,1.17519053418e-05,0.000343564598157,61.1678495432,-7.15449705716e-05
1550.9,1e-09,10.7284970757,4365.55810796,1.17519062365e-05,0.00034356479521,61.1748343306,-7.15486289748e-05
1551.0,1e-09,10.7284978472,4365.69004117,1.17519071306e-05,0.000343564992159,61.1818193292,-7.15522872052e-05
1551.1,1e-09,10.7284986182,4365.82195912,1.17519080242e-05,0.000343565189004,61.1888045388,-7.15559452628e-05
1551.2,1e-09,10.7284993888,4365.95386181,1.17519089173e-05,0.000343565385745,61.1957899594,-7.15596031477e-05
1551.3,1e-09,10.728500159,4366.08574925,1.17519098098e-05,0.000343565582382,61.2027755911,-7.15632608597e-05
1551.4,1e-09,10.7285009286,4366.21762144,1.17519107019e-05,0.000343565778915,61.2097614338,-7.1566918399e-05
1551.5,1e-09,10.7285016979,4366.34947837,1.17519115934e-05,0.000343565975344,61.2167474875,-7.15705757656e-05
1551.6,1e-09,10.7285024667,4366.48132006,1.17519124844e-05,0.000343566171669,61.2237337521,-7.15742329594e-05
1551.7,1e-09,10.728503235,4366.6131465,1.17519133749e-05,0.00034356636789,61.2307202277,-7.15778899805e-05
