time,ribA,ribD1,ribD2,E1,ribH,ribE,E2,GTP,C01304,C01268,C04454,C04732,C04332,riboflavin,FMN
5.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,5.59440557874e-18,1.56643355474e-26,2.92400930355e-35,4.09361302611e-44,4.5848461239e-53,4.27918757946e-62,3.42334502967e-71
5.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,5.69430567808e-18,1.62287711055e-26,3.08346651151e-35,4.39393978015e-44,5.00909087579e-53,4.75863411819e-62,3.87488247043e-71
5.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,5.7942057774e-18,1.68031966733e-26,3.24861802507e-35,4.71049613772e-44,5.46417503796e-53,5.28203357722e-62,4.37653650767e-71
5.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,5.89410587672e-18,1.73876122509e-26,3.41956374435e-35,5.04385652441e-44,5.95175020879e-53,5.85255199879e-62,4.93285935915e-71
6.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,5.99400597602e-18,1.79820178382e-26,3.59640356944e-35,5.39460535578e-44,6.47352592872e-53,6.47352347377e-62,5.54872820098e-71
6.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,6.09390607532e-18,1.85864134353e-26,3.77923740043e-35,5.76333703741e-44,7.03127067925e-53,7.14845598581e-62,6.22936226388e-71
6.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,6.19380617461e-18,1.92007990422e-26,3.96816513742e-35,6.15065596491e-44,7.62681288191e-53,7.88103735537e-62,6.98034051881e-71
6.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,6.29370627388e-18,1.98251746587e-26,4.16328668051e-35,6.55717652387e-44,8.26204189733e-53,8.67514128371e-62,7.80761996206e-71
6.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,6.39360637315e-18,2.0459540285e-26,4.3647019298e-35,6.98352308991e-44,8.93890902418e-53,9.53483349671e-62,8.71755450966e-71
6.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999994e-07,6.4935064724e-18,2.11038959211e-26,4.57251078537e-35,7.43033002864e-44,9.6594284982e-53,1.04643779887e-61,9.71691451117e-71
6.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,6.59340657165e-18,2.17582415669e-26,4.78681314734e-35,7.89824169571e-44,1.04256784912e-52,1.14682433659e-61,1.08129068929e-70
6.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,6.69330667088e-18,2.24225772224e-26,5.00770891579e-35,8.38791243675e-44,1.123980211e-52,1.25511092904e-61,1.20131959406e-70
6.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,6.79320677011e-18,2.30969028876e-26,5.23529799082e-35,8.90000658741e-44,1.21040083955e-52,1.37178730231e-61,1.3325924731e-70
6.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,6.89310686933e-18,2.37812185625e-26,5.46968027252e-35,9.43519847335e-44,1.30205733218e-52,1.49736560674e-61,1.47597372234e-70
7.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,6.99300696853e-18,2.44755242472e-26,5.710955661e-35,9.99417241025e-44,1.39918407949e-52,1.63238109126e-61,1.632380102e-70
7.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,7.09290706773e-18,2.51798199416e-26,5.95922405636e-35,1.05776227038e-43,1.50202236518e-52,1.77739278764e-61,1.80278308062e-70
7.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,7.19280716691e-18,2.58941056456e-26,6.21458535868e-35,1.11862536496e-43,1.61082046599e-52,1.93298420488e-61,1.98821124793e-70
7.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,7.29270726609e-18,2.66183813594e-26,6.47713946806e-35,1.18207795335e-43,1.72583375154e-52,2.09976403344e-61,2.18975279771e-70
7.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,7.39260736525e-18,2.73526470829e-26,6.7469862846e-35,1.24819246311e-43,1.84732478426e-52,2.27836685955e-61,2.4085580816e-70
7.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999993e-07,7.49250746441e-18,2.80969028161e-26,7.0242257084e-35,1.31704232082e-43,1.97556341928e-52,2.46945388951e-61,2.64584223478e-70
7.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,7.59240756356e-18,2.88511485589e-26,7.30895763955e-35,1.38870195204e-43,2.11082690437e-52,2.67371368391e-61,2.90288787463e-70
7.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,7.69230766269e-18,2.96153843115e-26,7.60128197815e-35,1.46324678136e-43,2.25339997976e-52,2.89186290191e-61,3.18104787325e-70
7.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,7.79220776182e-18,3.03896100737e-26,7.90129862429e-35,1.54075323234e-43,2.40357497813e-52,3.12464705549e-61,3.48174820499e-70
7.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,7.89210786093e-18,3.11738258456e-26,8.20910747808e-35,1.62129872756e-43,2.56165192445e-52,3.37284127367e-61,3.80649086983e-70
