time,hexokinase,glucose,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible
1769.1,1e-09,9.99999998232e-07,1.76733266733e-15,1e-06,1.56237080284e-18,1e-06,9.21466144143e-22
1769.2,1e-09,9.99999998232e-07,1.76743256743e-15,1e-06,1.56254738454e-18,1e-06,9.21622390053e-22
1769.3,1e-09,9.99999998232e-07,1.76753246753e-15,1e-06,1.56272397622e-18,1e-06,9.2177865362e-22
1769.4,1e-09,9.99999998231e-07,1.76763236763e-15,1e-06,1.56290057787e-18,1e-06,9.21934934848e-22
1769.5,1e-09,9.99999998231e-07,1.76773226773e-15,1e-06,1.56307718949e-18,1e-06,9.22091233736e-22
1769.6,1e-09,9.99999998231e-07,1.76783216783e-15,1e-06,1.56325381108e-18,1e-06,9.22247550285e-22
1769.7,1e-09,9.99999998231e-07,1.76793206793e-15,1e-06,1.56343044264e-18,1e-06,9.22403884498e-22
1769.8,1e-09,9.99999998231e-07,1.76803196803e-15,1e-06,1.56360708418e-18,1e-06,9.22560236374e-22
1769.9,1e-09,9.99999998231e-07,1.76813186813e-15,1e-06,1.56378373569e-18,1e-06,9.22716605914e-22
1770.0,1e-09,9.99999998231e-07,1.76823176823e-15,1e-06,1.56396039717e-18,1e-06,9.22872993121e-22
1770.1,1e-09,9.99999998231e-07,1.76833166833e-15,1e-06,1.56413706863e-18,1e-06,9.23029397994e-22
1770.2,1e-09,9.99999998231e-07,1.76843156843e-15,1e-06,1.56431375005e-18,1e-06,9.23185820534e-22
1770.3,1e-09,9.99999998231e-07,1.76853146853e-15,1e-06,1.56449044145e-18,1e-06,9.23342260744e-22
1770.4,1e-09,9.9999999823e-07,1.76863136863e-15,1e-06,1.56466714282e-18,1e-06,9.23498718622e-22
1770.5,1e-09,9.9999999823e-07,1.76873126873e-15,1e-06,1.56484385417e-18,1e-06,9.23655194172e-22
1770.6,1e-09,9.9999999823e-07,1.76883116883e-15,1e-06,1.56502057548e-18,1e-06,9.23811687393e-22
1770.7,1e-09,9.9999999823e-07,1.76893106893e-15,1e-06,1.56519730677e-18,1e-06,9.23968198287e-22
1770.8,1e-09,9.9999999823e-07,1.76903096903e-15,1e-06,1.56537404803e-18,1e-06,9.24124726854e-22
1770.9,1e-09,9.9999999823e-07,1.76913086913e-15,1e-06,1.56555079926e-18,1e-06,9.24281273096e-22
1771.0,1e-09,9.9999999823e-07,1.76923076923e-15,1e-06,1.56572756047e-18,1e-06,9.24437837014e-22
1771.1,1e-09,9.9999999823e-07,1.76933066933e-15,1e-06,1.56590433165e-18,1e-06,9.24594418608e-22
1771.2,1e-09,9.9999999823e-07,1.76943056943e-15,1e-06,1.5660811128e-18,1e-06,9.2475101788e-22
1771.3,1e-09,9.9999999823e-07,1.76953046953e-15,1e-06,1.56625790392e-18,1e-06,9.24907634831e-22
