time,glucose,hexokinase,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible,phosphofructokinase,fructose16biphosphate
12.0,4e-09,9.99999999952e-07,4.79517602409e-17,1e-06,2.87709976823e-22,1e-06,1.15084221818e-27,1e-06,1.15084567072e-27
12.1,4e-09,9.99999999952e-07,4.83513558254e-17,1e-06,2.92525103384e-22,1e-06,1.1798536392e-27,1e-06,1.17985720827e-27
12.2,4e-09,9.99999999951e-07,4.87509513698e-17,1e-06,2.97380189013e-22,1e-06,1.20934857082e-27,1e-06,1.20935225935e-27
12.3,4e-09,9.99999999951e-07,4.91505468744e-17,1e-06,3.02275233703e-22,1e-06,1.23933100897e-27,1e-06,1.23933481992e-27
12.4,4e-09,9.9999999995e-07,4.95501423389e-17,1e-06,3.07210237447e-22,1e-06,1.26980494953e-27,1e-06,1.26980888594e-27
12.5,4e-09,9.9999999995e-07,4.99497377635e-17,1e-06,3.12185200235e-22,1e-06,1.30077438843e-27,1e-06,1.30077845336e-27
12.6,4e-09,9.9999999995e-07,5.03493331482e-17,1e-06,3.1720012206e-22,1e-06,1.33224332155e-27,1e-06,1.33224751813e-27
12.7,4e-09,9.99999999949e-07,5.07489284929e-17,1e-06,3.22255002915e-22,1e-06,1.3642157448e-27,1e-06,1.36422007621e-27
12.8,4e-09,9.99999999949e-07,5.11485237976e-17,1e-06,3.2734984279e-22,1e-06,1.3966956541e-27,1e-06,1.39670012354e-27
12.9,4e-09,9.99999999948e-07,5.15481190624e-17,1e-06,3.32484641678e-22,1e-06,1.42968704533e-27,1e-06,1.42969165609e-27
13.0,4e-09,9.99999999948e-07,5.19477142872e-17,1e-06,3.37659399571e-22,1e-06,1.4631939144e-27,1e-06,1.4631986698e-27
13.1,4e-09,9.99999999948e-07,5.2347309472e-17,1e-06,3.42874116461e-22,1e-06,1.49722025721e-27,1e-06,1.49722516063e-27
13.2,4e-09,9.99999999947e-07,5.27469046169e-17,1e-06,3.4812879234e-22,1e-06,1.53177006966e-27,1e-06,1.53177512452e-27
13.3,4e-09,9.99999999947e-07,5.31464997219e-17,1e-06,3.53423427199e-22,1e-06,1.56684734764e-27,1e-06,1.56685255743e-27
13.4,4e-09,9.99999999946e-07,5.35460947868e-17,1e-06,3.58758021032e-22,1e-06,1.60245608706e-27,1e-06,1.60246145531e-27
13.5,4e-09,9.99999999946e-07,5.39456898118e-17,1e-06,3.64132573829e-22,1e-06,1.63860028382e-27,1e-06,1.63860581411e-27
13.6,4e-09,9.99999999946e-07,5.43452847969e-17,1e-06,3.69547085582e-22,1e-06,1.6752839338e-27,1e-06,1.67528962978e-27
13.7,4e-09,9.99999999945e-07,5.4744879742e-17,1e-06,3.75001556285e-22,1e-06,1.7125110329e-27,1e-06,1.71251689827e-27
13.8,4e-09,9.99999999945e-07,5.51444746471e-17,1e-06,3.80495985928e-22,1e-06,1.75028557702e-27,1e-06,1.75029161553e-27
13.9,4e-09,9.99999999944e-07,5.55440695123e-17,1e-06,3.86030374504e-22,1e-06,1.78861156205e-27,1e-06,1.7886177775e-27
14.0,4e-09,9.99999999944e-07,5.59436643375e-17,1e-06,3.91604722004e-22,1e-06,1.82749298388e-27,1e-06,1.82749938013e-27
14.1,4e-09,9.99999999944e-07,5.63432591228e-17,1e-06,3.97219028421e-22,1e-06,1.86693383841e-27,1e-06,1.86694041938e-27
14.2,4e-09,9.99999999943e-07,5.67428538681e-17,1e-06,4.02873293747e-22,1e-06,1.90693812153e-27,1e-06,1.90694489119e-27
14.3,4e-09,9.99999999943e-07,5.71424485734e-17,1e-06,4.08567517973e-22,1e-06,1.94750982913e-27,1e-06,1.9475167915e-27
14.4,4e-09,9.99999999942e-07,5.75420432388e-17,1e-06,4.14301701092e-22,1e-06,1.98865295709e-27,1e-06,1.98866011627e-27
14.5,4e-09,9.99999999942e-07,5.79416378642e-17,1e-06,4.20075843096e-22,1e-06,2.03037150131e-27,1e-06,2.03037886144e-27
14.6,4e-09,9.99999999942e-07,5.83412324496e-17,1e-06,4.25889943975e-22,1e-06,2.07266945767e-27,1e-06,2.07267702295e-27
14.7,4e-09,9.99999999941e-07,5.87408269951e-17,1e-06,4.31744003724e-22,1e-06,2.11555082206e-27,1e-06,2.11555859675e-27
14.8,4e-09,9.99999999941e-07,5.91404215007e-17,1e-06,4.37638022332e-22,1e-06,2.15901959038e-27,1e-06,2.15902757878e-27
14.9,4e-09,9.9999999994e-07,5.95400159663e-17,1e-06,4.43571999794e-22,1e-06,2.20307975849e-27,1e-06,2.203087965e-27
15.0,4e-09,9.9999999994e-07,5.99396103919e-17,1e-06,4.49545936099e-22,1e-06,2.2477353223e-27,1e-06,2.24774375134e-27
15.1,4e-09,9.9999999994e-07,6.03392047775e-17,1e-06,4.55559831241e-22,1e-06,2.29299027767e-27,1e-06,2.29299893375e-27
15.2,4e-09,9.99999999939e-07,6.07387991232e-17,1e-06,4.61613685211e-22,1e-06,2.33884862051e-27,1e-06,2.33885750817e-27
