time,hexokinase,glucose,g6p,phosphoglucoisomerase,phosphoglucoisomerase2,f6p,phosphofructokinase,f16p,fructosephosphatealdolase,fructosephosphatealdolase2,g3p,dhp,g6pdehydrogenase,pg6
5.6,1e-09,9.99999999994e-07,5.59440556308e-18,1e-09,1e-09,1.5664335489e-26,1e-09,2.92400929536e-35,1e-09,1e-09,4.09361301694e-44,4.09361301694e-44,1e-09,1.56643355474e-26
5.7,1e-09,9.99999999994e-07,5.69430566185e-18,1e-09,1e-09,1.62287710438e-26,1e-09,3.08346650272e-35,1e-09,1e-09,4.39393977013e-44,4.39393977013e-44,1e-09,1.62287711055e-26
5.8,1e-09,9.99999999994e-07,5.7942057606e-18,1e-09,1e-09,1.68031966083e-26,1e-09,3.24861801565e-35,1e-09,1e-09,4.71049612679e-44,4.71049612679e-44,1e-09,1.68031966733e-26
5.9,1e-09,9.99999999994e-07,5.89410585933e-18,1e-09,1e-09,1.73876121825e-26,1e-09,3.41956373427e-35,1e-09,1e-09,5.0438565125e-44,5.0438565125e-44,1e-09,1.73876122509e-26
6.0,1e-09,9.99999999994e-07,5.99400595804e-18,1e-09,1e-09,1.79820177663e-26,1e-09,3.59640355865e-35,1e-09,1e-09,5.39460534283e-44,5.39460534283e-44,1e-09,1.79820178382e-26
6.1,1e-09,9.99999999994e-07,6.09390605673e-18,1e-09,1e-09,1.85864133597e-26,1e-09,3.77923738891e-35,1e-09,1e-09,5.76333702335e-44,5.76333702335e-44,1e-09,1.85864134353e-26
6.2,1e-09,9.99999999994e-07,6.1938061554e-18,1e-09,1e-09,1.92007989628e-26,1e-09,3.96816512512e-35,1e-09,1e-09,6.15065594966e-44,6.15065594966e-44,1e-09,1.92007990422e-26
6.3,1e-09,9.99999999994e-07,6.29370625406e-18,1e-09,1e-09,1.98251745755e-26,1e-09,4.1632866674e-35,1e-09,1e-09,6.55717650735e-44,6.55717650735e-44,1e-09,1.98251746587e-26
6.4,1e-09,9.99999999994e-07,6.39360635269e-18,1e-09,1e-09,2.04595401977e-26,1e-09,4.36470191583e-35,1e-09,1e-09,6.98352307203e-44,6.98352307203e-44,1e-09,2.0459540285e-26
6.5,1e-09,9.99999999994e-07,6.4935064513e-18,1e-09,1e-09,2.11038958296e-26,1e-09,4.57251077051e-35,1e-09,1e-09,7.43033000932e-44,7.43033000932e-44,1e-09,2.11038959211e-26
6.6,1e-09,9.99999999993e-07,6.59340654989e-18,1e-09,1e-09,2.17582414711e-26,1e-09,4.78681313154e-35,1e-09,1e-09,7.89824167486e-44,7.89824167486e-44,1e-09,2.17582415669e-26
6.7,1e-09,9.99999999993e-07,6.69330664846e-18,1e-09,1e-09,2.24225771222e-26,1e-09,5.00770889901e-35,1e-09,1e-09,8.38791241427e-44,8.38791241427e-44,1e-09,2.24225772224e-26
6.8,1e-09,9.99999999993e-07,6.79320674701e-18,1e-09,1e-09,2.30969027829e-26,1e-09,5.23529797302e-35,1e-09,1e-09,8.9000065632e-44,8.9000065632e-44,1e-09,2.30969028876e-26
6.9,1e-09,9.99999999993e-07,6.89310684554e-18,1e-09,1e-09,2.37812184531e-26,1e-09,5.46968025365e-35,1e-09,1e-09,9.43519844731e-44,9.43519844731e-44,1e-09,2.37812185625e-26
7.0,1e-09,9.99999999993e-07,6.99300694406e-18,1e-09,1e-09,2.4475524133e-26,1e-09,5.71095564102e-35,1e-09,1e-09,9.99417238227e-44,9.99417238227e-44,1e-09,2.44755242472e-26
7.1,1e-09,9.99999999993e-07,7.09290704255e-18,1e-09,1e-09,2.51798198224e-26,1e-09,5.9592240352e-35,1e-09,1e-09,1.05776226737e-43,1.05776226737e-43,1e-09,2.51798199416e-26
7.2,1e-09,9.99999999993e-07,7.19280714102e-18,1e-09,1e-09,2.58941055214e-26,1e-09,6.2145853363e-35,1e-09,1e-09,1.11862536174e-43,1.11862536174e-43,1e-09,2.58941056456e-26
7.3,1e-09,9.99999999993e-07,7.29270723947e-18,1e-09,1e-09,2.66183812299e-26,1e-09,6.47713944442e-35,1e-09,1e-09,1.1820779499e-43,1.1820779499e-43,1e-09,2.66183813594e-26
7.4,1e-09,9.99999999993e-07,7.3926073379e-18,1e-09,1e-09,2.7352646948e-26,1e-09,6.74698625964e-35,1e-09,1e-09,1.24819245942e-43,1.24819245942e-43,1e-09,2.73526470829e-26
7.5,1e-09,9.99999999993e-07,7.49250743631e-18,1e-09,1e-09,2.80969026756e-26,1e-09,7.02422568206e-35,1e-09,1e-09,1.31704231687e-43,1.31704231687e-43,1e-09,2.80969028161e-26
7.6,1e-09,9.99999999992e-07,7.59240753471e-18,1e-09,1e-09,2.88511484128e-26,1e-09,7.30895761178e-35,1e-09,1e-09,1.38870194782e-43,1.38870194782e-43,1e-09,2.88511485589e-26
7.7,1e-09,9.99999999992e-07,7.69230763308e-18,1e-09,1e-09,2.96153841595e-26,1e-09,7.60128194888e-35,1e-09,1e-09,1.46324677685e-43,1.46324677685e-43,1e-09,2.96153843115e-26
7.8,1e-09,9.99999999992e-07,7.79220773143e-18,1e-09,1e-09,3.03896099157e-26,1e-09,7.90129859348e-35,1e-09,1e-09,1.54075322753e-43,1.54075322753e-43,1e-09,3.03896100737e-26
7.9,1e-09,9.99999999992e-07,7.89210782976e-18,1e-09,1e-09,3.11738256814e-26,1e-09,8.20910744565e-35,1e-09,1e-09,1.62129872244e-43,1.62129872244e-43,1e-09,3.11738258456e-26
8.0,1e-09,9.99999999992e-07,7.99200792807e-18,1e-09,1e-09,3.19680314567e-26,1e-09,8.5248084055e-35,1e-09,1e-09,1.70496168314e-43,1.70496168314e-43,1e-09,3.19680316272e-26
8.1,1e-09,9.99999999992e-07,8.09190802636e-18,1e-09,1e-09,3.27722272415e-26,1e-09,8.84850137311e-35,1e-09,1e-09,1.79182153023e-43,1.79182153023e-43,1e-09,3.27722274185e-26
8.2,1e-09,9.99999999992e-07,8.19180812464e-18,1e-09,1e-09,3.35864130358e-26,1e-09,9.18028624859e-35,1e-09,1e-09,1.88195868327e-43,1.88195868327e-43,1e-09,3.35864132194e-26
8.3,1e-09,9.99999999992e-07,8.29170822289e-18,1e-09,1e-09,3.44105888396e-26,1e-09,9.52026293202e-35,1e-09,1e-09,1.97545456085e-43,1.97545456085e-43,1e-09,3.441058903e-26
8.4,1e-09,9.99999999992e-07,8.39160832112e-18,1e-09,1e-09,3.52447546528e-26,1e-09,9.86853132351e-35,1e-09,1e-09,2.07239158055e-43,2.07239158055e-43,1e-09,3.52447548502e-26
8.5,1e-09,9.99999999992e-07,8.49150841933e-18,1e-09,1e-09,3.60889104756e-26,1e-09,1.02251913231e-34,1e-09,1e-09,2.17285315893e-43,2.17285315893e-43,1e-09,3.60889106801e-26
8.6,1e-09,9.99999999991e-07,8.59140851752e-18,1e-09,1e-09,3.69430563078e-26,1e-09,1.0590342831e-34,1e-09,1e-09,2.2769237116e-43,2.2769237116e-43,1e-09,3.69430565197e-26
8.7,1e-09,9.99999999991e-07,8.69130861569e-18,1e-09,1e-09,3.78071921496e-26,1e-09,1.09640857472e-34,1e-09,1e-09,2.38468865313e-43,2.38468865313e-43,1e-09,3.78071923688e-26
8.8,1e-09,9.99999999991e-07,8.79120871385e-18,1e-09,1e-09,3.86813180008e-26,1e-09,1.13465199718e-34,1e-09,1e-09,2.4962343971e-43,2.4962343971e-43,1e-09,3.86813182277e-26
8.9,1e-09,9.99999999991e-07,8.89110881198e-18,1e-09,1e-09,3.95654338614e-26,1e-09,1.1737745405e-34,1e-09,1e-09,2.61164835609e-43,2.61164835609e-43,1e-09,3.95654340962e-26
9.0,1e-09,9.99999999991e-07,8.99100891009e-18,1e-09,1e-09,4.04595397315e-26,1e-09,1.21378619467e-34,1e-09,1e-09,2.7310189417e-43,2.7310189417e-43,1e-09,4.04595399743e-26
9.1,1e-09,9.99999999991e-07,9.09090900818e-18,1e-09,1e-09,4.13636356111e-26,1e-09,1.25469694972e-34,1e-09,1e-09,2.85443556451e-43,2.85443556451e-43,1e-09,4.1363635862e-26
9.2,1e-09,9.99999999991e-07,9.19080910625e-18,1e-09,1e-09,4.22777215001e-26,1e-09,1.29651679565e-34,1e-09,1e-09,2.9819886341e-43,2.9819886341e-43,1e-09,4.22777217594e-26
9.3,1e-09,9.99999999991e-07,9.29070920431e-18,1e-09,1e-09,4.32017973985e-26,1e-09,1.33925572247e-34,1e-09,1e-09,3.11376955907e-43,3.11376955907e-43,1e-09,4.32017976664e-26
9.4,1e-09,9.99999999991e-07,9.39060930234e-18,1e-09,1e-09,4.41358633064e-26,1e-09,1.38292372018e-34,1e-09,1e-09,3.249870747e-43,3.249870747e-43,1e-09,4.4135863583e-26
9.5,1e-09,9.99999999991e-07,9.49050940035e-18,1e-09,1e-09,4.50799192237e-26,1e-09,1.4275307788e-34,1e-09,1e-09,3.39038560449e-43,3.39038560449e-43,1e-09,4.50799195092e-26
