time,hexokinase,glucose,glucose6phosphate
840.1,1e-09,9.9999999916e-07,8.3926073926e-16
840.2,1e-09,9.9999999916e-07,8.3936063936e-16
840.3,1e-09,9.9999999916e-07,8.3946053946e-16
840.4,1e-09,9.9999999916e-07,8.3956043956e-16
840.5,1e-09,9.9999999916e-07,8.3966033966e-16
840.6,1e-09,9.9999999916e-07,8.3976023976e-16
840.7,1e-09,9.9999999916e-07,8.3986013986e-16
840.8,1e-09,9.9999999916e-07,8.3996003996e-16
840.9,1e-09,9.9999999916e-07,8.4005994006e-16
841.0,1e-09,9.99999999159e-07,8.40159840159e-16
841.1,1e-09,9.99999999159e-07,8.40259740259e-16
841.2,1e-09,9.99999999159e-07,8.40359640359e-16
841.3,1e-09,9.99999999159e-07,8.40459540459e-16
841.4,1e-09,9.99999999159e-07,8.40559440559e-16
841.5,1e-09,9.99999999159e-07,8.40659340659e-16
841.6,1e-09,9.99999999159e-07,8.40759240759e-16
841.7,1e-09,9.99999999159e-07,8.40859140859e-16
841.8,1e-09,9.99999999159e-07,8.40959040959e-16
841.9,1e-09,9.99999999159e-07,8.41058941059e-16
842.0,1e-09,9.99999999158e-07,8.41158841158e-16
842.1,1e-09,9.99999999158e-07,8.41258741258e-16
842.2,1e-09,9.99999999158e-07,8.41358641358e-16
842.3,1e-09,9.99999999158e-07,8.41458541458e-16
842.4,1e-09,9.99999999158e-07,8.41558441558e-16
842.5,1e-09,9.99999999158e-07,8.41658341658e-16
842.6,1e-09,9.99999999158e-07,8.41758241758e-16
842.7,1e-09,9.99999999158e-07,8.41858141858e-16
842.8,1e-09,9.99999999158e-07,8.41958041958e-16
842.9,1e-09,9.99999999158e-07,8.42057942058e-16
843.0,1e-09,9.99999999157e-07,8.42157842157e-16
843.1,1e-09,9.99999999157e-07,8.42257742257e-16
843.2,1e-09,9.99999999157e-07,8.42357642357e-16
843.3,1e-09,9.99999999157e-07,8.42457542457e-16
843.4,1e-09,9.99999999157e-07,8.42557442557e-16
843.5,1e-09,9.99999999157e-07,8.42657342657e-16
843.6,1e-09,9.99999999157e-07,8.42757242757e-16
843.7,1e-09,9.99999999157e-07,8.42857142857e-16
843.8,1e-09,9.99999999157e-07,8.42957042957e-16
843.9,1e-09,9.99999999157e-07,8.43056943057e-16
844.0,1e-09,9.99999999156e-07,8.43156843156e-16
844.1,1e-09,9.99999999156e-07,8.43256743256e-16
844.2,1e-09,9.99999999156e-07,8.43356643356e-16
844.3,1e-09,9.99999999156e-07,8.43456543456e-16
844.4,1e-09,9.99999999156e-07,8.43556443556e-16
844.5,1e-09,9.99999999156e-07,8.43656343656e-16
844.6,1e-09,9.99999999156e-07,8.43756243756e-16
844.7,1e-09,9.99999999156e-07,8.43856143856e-16
844.8,1e-09,9.99999999156e-07,8.43956043956e-16
844.9,1e-09,9.99999999156e-07,8.44055944056e-16
845.0,1e-09,9.99999999155e-07,8.44155844155e-16
845.1,1e-09,9.99999999155e-07,8.44255744255e-16
845.2,1e-09,9.99999999155e-07,8.44355644355e-16
845.3,1e-09,9.99999999155e-07,8.44455544455e-16
845.4,1e-09,9.99999999155e-07,8.44555444555e-16
845.5,1e-09,9.99999999155e-07,8.44655344655e-16
845.6,1e-09,9.99999999155e-07,8.44755244755e-16
845.7,1e-09,9.99999999155e-07,8.44855144855e-16
845.8,1e-09,9.99999999155e-07,8.44955044955e-16
845.9,1e-09,9.99999999155e-07,8.45054945055e-16
846.0,1e-09,9.99999999154e-07,8.45154845154e-16
846.1,1e-09,9.99999999154e-07,8.45254745254e-16
846.2,1e-09,9.99999999154e-07,8.45354645354e-16
846.3,1e-09,9.99999999154e-07,8.45454545454e-16
846.4,1e-09,9.99999999154e-07,8.45554445554e-16
846.5,1e-09,9.99999999154e-07,8.45654345654e-16
846.6,1e-09,9.99999999154e-07,8.45754245754e-16
846.7,1e-09,9.99999999154e-07,8.45854145854e-16
846.8,1e-09,9.99999999154e-07,8.45954045954e-16
846.9,1e-09,9.99999999154e-07,8.46053946054e-16
847.0,1e-09,9.99999999153e-07,8.46153846153e-16
847.1,1e-09,9.99999999153e-07,8.46253746253e-16
847.2,1e-09,9.99999999153e-07,8.46353646353e-16
847.3,1e-09,9.99999999153e-07,8.46453546453e-16
847.4,1e-09,9.99999999153e-07,8.46553446553e-16
847.5,1e-09,9.99999999153e-07,8.46653346653e-16
847.6,1e-09,9.99999999153e-07,8.46753246753e-16
847.7,1e-09,9.99999999153e-07,8.46853146853e-16
847.8,1e-09,9.99999999153e-07,8.46953046953e-16
847.9,1e-09,9.99999999153e-07,8.47052947053e-16
848.0,1e-09,9.99999999152e-07,8.47152847152e-16
848.1,1e-09,9.99999999152e-07,8.47252747252e-16
848.2,1e-09,9.99999999152e-07,8.47352647352e-16
848.3,1e-09,9.99999999152e-07,8.47452547452e-16
848.4,1e-09,9.99999999152e-07,8.47552447552e-16
848.5,1e-09,9.99999999152e-07,8.47652347652e-16
848.6,1e-09,9.99999999152e-07,8.47752247752e-16
848.7,1e-09,9.99999999152e-07,8.47852147852e-16
848.8,1e-09,9.99999999152e-07,8.47952047952e-16
848.9,1e-09,9.99999999152e-07,8.48051948052e-16
849.0,1e-09,9.99999999151e-07,8.48151848151e-16
849.1,1e-09,9.99999999151e-07,8.48251748251e-16
849.2,1e-09,9.99999999151e-07,8.48351648351e-16
849.3,1e-09,9.99999999151e-07,8.48451548451e-16
849.4,1e-09,9.99999999151e-07,8.48551448551e-16
849.5,1e-09,9.99999999151e-07,8.48651348651e-16
849.6,1e-09,9.99999999151e-07,8.48751248751e-16
