time,Glucose,Hexokinase,Complex_G_H
467.0,1e-06,1.00032695344e-06,1.40090190018e-16
468.0,1e-06,1.00032765367e-06,1.40390147969e-16
469.0,1e-06,1.0003283539e-06,1.4069010583e-16
470.0,1e-06,1.00032905413e-06,1.40990063601e-16
471.0,1e-06,1.00032975436e-06,1.41290021282e-16
472.0,1e-06,1.00033045459e-06,1.41589978873e-16
473.0,1e-06,1.00033115482e-06,1.41889936375e-16
474.0,1e-06,1.00033185505e-06,1.42189893786e-16
475.0,1e-06,1.00033255528e-06,1.42489851108e-16
476.0,1e-06,1.00033325552e-06,1.4278980834e-16
477.0,1e-06,1.00033395575e-06,1.43089765482e-16
478.0,1e-06,1.00033465598e-06,1.43389722534e-16
479.0,1e-06,1.00033535622e-06,1.43689679496e-16
480.0,1e-06,1.00033605645e-06,1.43989636368e-16
481.0,1e-06,1.00033675669e-06,1.4428959315e-16
482.0,1e-06,1.00033745693e-06,1.44589549843e-16
483.0,1e-06,1.00033815716e-06,1.44889506446e-16
484.0,1e-06,1.0003388574e-06,1.45189462958e-16
485.0,1e-06,1.00033955764e-06,1.45489419381e-16
486.0,1e-06,1.00034025787e-06,1.45789375714e-16
487.0,1e-06,1.00034095811e-06,1.46089331957e-16
488.0,1e-06,1.00034165835e-06,1.4638928811e-16
489.0,1e-06,1.00034235859e-06,1.46689244173e-16
490.0,1e-06,1.00034305883e-06,1.46989200147e-16
491.0,1e-06,1.00034375907e-06,1.4728915603e-16
492.0,1e-06,1.00034445931e-06,1.47589111824e-16
493.0,1e-06,1.00034515955e-06,1.47889067528e-16
494.0,1e-06,1.0003458598e-06,1.48189023142e-16
495.0,1e-06,1.00034656004e-06,1.48488978666e-16
496.0,1e-06,1.00034726028e-06,1.487889341e-16
497.0,1e-06,1.00034796052e-06,1.49088889444e-16
498.0,1e-06,1.00034866077e-06,1.49388844698e-16
499.0,1e-06,1.00034936101e-06,1.49688799863e-16
500.0,1e-06,1.00035006126e-06,1.49988754937e-16
501.0,1e-06,1.0003507615e-06,1.50288709922e-16
502.0,1e-06,1.00035146175e-06,1.50588664817e-16
503.0,1e-06,1.00035216199e-06,1.50888619622e-16
504.0,1e-06,1.00035286224e-06,1.51188574337e-16
505.0,1e-06,1.00035356249e-06,1.51488528962e-16
506.0,1e-06,1.00035426274e-06,1.51788483497e-16
507.0,1e-06,1.00035496298e-06,1.52088437942e-16
508.0,1e-06,1.00035566323e-06,1.52388392298e-16
509.0,1e-06,1.00035636348e-06,1.52688346564e-16
510.0,1e-06,1.00035706373e-06,1.52988300739e-16
511.0,1e-06,1.00035776398e-06,1.53288254825e-16
512.0,1e-06,1.00035846423e-06,1.53588208821e-16
513.0,1e-06,1.00035916448e-06,1.53888162727e-16
514.0,1e-06,1.00035986474e-06,1.54188116544e-16
515.0,1e-06,1.00036056499e-06,1.5448807027e-16
516.0,1e-06,1.00036126524e-06,1.54788023906e-16
517.0,1e-06,1.00036196549e-06,1.55087977453e-16
518.0,1e-06,1.00036266575e-06,1.5538793091e-16
