time,Glucose,Hexokinase,Complex_G_H
1229.0,1e-06,3.00258201049e-06,1.1058963104e-15
1230.0,1e-06,3.0025841123e-06,1.10679597897e-15
1231.0,1e-06,3.00258621411e-06,1.10769564728e-15
1232.0,1e-06,3.00258831592e-06,1.10859531531e-15
1233.0,1e-06,3.00259041773e-06,1.10949498308e-15
1234.0,1e-06,3.00259251955e-06,1.11039465057e-15
1235.0,1e-06,3.00259462136e-06,1.1112943178e-15
1236.0,1e-06,3.00259672318e-06,1.11219398476e-15
1237.0,1e-06,3.002598825e-06,1.11309365144e-15
1238.0,1e-06,3.00260092682e-06,1.11399331786e-15
1239.0,1e-06,3.00260302864e-06,1.11489298401e-15
1240.0,1e-06,3.00260513046e-06,1.1157926499e-15
1241.0,1e-06,3.00260723229e-06,1.11669231551e-15
1242.0,1e-06,3.00260933411e-06,1.11759198085e-15
1243.0,1e-06,3.00261143594e-06,1.11849164592e-15
1244.0,1e-06,3.00261353777e-06,1.11939131073e-15
1245.0,1e-06,3.0026156396e-06,1.12029097526e-15
1246.0,1e-06,3.00261774143e-06,1.12119063953e-15
1247.0,1e-06,3.00261984326e-06,1.12209030353e-15
1248.0,1e-06,3.0026219451e-06,1.12298996726e-15
1249.0,1e-06,3.00262404693e-06,1.12388963071e-15
1250.0,1e-06,3.00262614877e-06,1.1247892939e-15
1251.0,1e-06,3.00262825061e-06,1.12568895683e-15
1252.0,1e-06,3.00263035245e-06,1.12658861948e-15
1253.0,1e-06,3.00263245429e-06,1.12748828186e-15
1254.0,1e-06,3.00263455614e-06,1.12838794397e-15
1255.0,1e-06,3.00263665798e-06,1.12928760582e-15
1256.0,1e-06,3.00263875983e-06,1.13018726739e-15
1257.0,1e-06,3.00264086168e-06,1.1310869287e-15
1258.0,1e-06,3.00264296353e-06,1.13198658974e-15
1259.0,1e-06,3.00264506538e-06,1.1328862505e-15
1260.0,1e-06,3.00264716723e-06,1.133785911e-15
1261.0,1e-06,3.00264926908e-06,1.13468557123e-15
1262.0,1e-06,3.00265137094e-06,1.13558523119e-15
1263.0,1e-06,3.00265347279e-06,1.13648489088e-15
1264.0,1e-06,3.00265557465e-06,1.13738455031e-15
1265.0,1e-06,3.00265767651e-06,1.13828420946e-15
1266.0,1e-06,3.00265977837e-06,1.13918386834e-15
1267.0,1e-06,3.00266188024e-06,1.14008352696e-15
1268.0,1e-06,3.0026639821e-06,1.14098318531e-15
1269.0,1e-06,3.00266608397e-06,1.14188284338e-15
1270.0,1e-06,3.00266818583e-06,1.14278250119e-15
1271.0,1e-06,3.0026702877e-06,1.14368215873e-15
1272.0,1e-06,3.00267238957e-06,1.144581816e-15
1273.0,1e-06,3.00267449144e-06,1.145481473e-15
1274.0,1e-06,3.00267659332e-06,1.14638112973e-15
1275.0,1e-06,3.00267869519e-06,1.14728078619e-15
1276.0,1e-06,3.00268079707e-06,1.14818044239e-15
1277.0,1e-06,3.00268289894e-06,1.14908009831e-15
1278.0,1e-06,3.00268500082e-06,1.14997975396e-15
1279.0,1e-06,3.0026871027e-06,1.15087940935e-15
1280.0,1e-06,3.00268920458e-06,1.15177906447e-15
1281.0,1e-06,3.00269130647e-06,1.15267871932e-15
1282.0,1e-06,3.00269340835e-06,1.15357837389e-15
1283.0,1e-06,3.00269551024e-06,1.1544780282e-15
1284.0,1e-06,3.00269761213e-06,1.15537768224e-15
