time,GluGA3P,GA3PDHAP,DHAPG3P,Glu,GA3P,DHAP,G3P
1790.1,4.06e-05,1.5e-06,0.05,5.13166715778e-07,4.28297188914e-07,1.07018508852e-09,5.74659102195e-08
1790.2,4.06e-05,1.5e-06,0.05,5.13147590854e-07,4.28310695784e-07,1.07021947836e-09,5.74714938835e-08
1790.3,4.06e-05,1.5e-06,0.05,5.13128466642e-07,4.28324201765e-07,1.07025386595e-09,5.7477077727e-08
1790.4,4.06e-05,1.5e-06,0.05,5.13109343144e-07,4.28337706855e-07,1.07028825128e-09,5.74826617499e-08
1790.5,4.06e-05,1.5e-06,0.05,5.13090220357e-07,4.28351211056e-07,1.07032263436e-09,5.74882459522e-08
1790.6,4.06e-05,1.5e-06,0.05,5.13071098284e-07,4.28364714367e-07,1.07035701518e-09,5.74938303339e-08
1790.7,4.06e-05,1.5e-06,0.05,5.13051976923e-07,4.28378216788e-07,1.07039139375e-09,5.7499414895e-08
1790.8,4.06e-05,1.5e-06,0.05,5.13032856275e-07,4.2839171832e-07,1.07042577006e-09,5.75049996354e-08
1790.9,4.06e-05,1.5e-06,0.05,5.13013736339e-07,4.28405218962e-07,1.07046014411e-09,5.75105845552e-08
1791.0,4.06e-05,1.5e-06,0.05,5.12994617116e-07,4.28418718714e-07,1.07049451591e-09,5.75161696543e-08
1791.1,4.06e-05,1.5e-06,0.05,5.12975498606e-07,4.28432217576e-07,1.07052888546e-09,5.75217549327e-08
1791.2,4.06e-05,1.5e-06,0.05,5.12956380808e-07,4.28445715549e-07,1.07056325275e-09,5.75273403904e-08
1791.3,4.06e-05,1.5e-06,0.05,5.12937263722e-07,4.28459212633e-07,1.07059761778e-09,5.75329260275e-08
1791.4,4.06e-05,1.5e-06,0.05,5.12918147349e-07,4.28472708826e-07,1.07063198056e-09,5.75385118438e-08
1791.5,4.06e-05,1.5e-06,0.05,5.12899031689e-07,4.28486204131e-07,1.07066634109e-09,5.75440978394e-08
1791.6,4.06e-05,1.5e-06,0.05,5.1287991674e-07,4.28499698546e-07,1.07070069936e-09,5.75496840143e-08
1791.7,4.06e-05,1.5e-06,0.05,5.12860802505e-07,4.28513192072e-07,1.07073505537e-09,5.75552703684e-08
1791.8,4.06e-05,1.5e-06,0.05,5.12841688981e-07,4.28526684708e-07,1.07076940913e-09,5.75608569018e-08
1791.9,4.06e-05,1.5e-06,0.05,5.1282257617e-07,4.28540176455e-07,1.07080376064e-09,5.75664436144e-08
1792.0,4.06e-05,1.5e-06,0.05,5.12803464071e-07,4.28553667313e-07,1.07083810989e-09,5.75720305062e-08
1792.1,4.06e-05,1.5e-06,0.05,5.12784352685e-07,4.28567157281e-07,1.07087245689e-09,5.75776175772e-08
1792.2,4.06e-05,1.5e-06,0.05,5.1276524201e-07,4.28580646361e-07,1.07090680164e-09,5.75832048275e-08
1792.3,4.06e-05,1.5e-06,0.05,5.12746132048e-07,4.28594134551e-07,1.07094114413e-09,5.75887922569e-08
1792.4,4.06e-05,1.5e-06,0.05,5.12727022798e-07,4.28607621852e-07,1.07097548437e-09,5.75943798655e-08
1792.5,4.06e-05,1.5e-06,0.05,5.12707914261e-07,4.28621108264e-07,1.07100982235e-09,5.75999676532e-08
1792.6,4.06e-05,1.5e-06,0.05,5.12688806435e-07,4.28634593787e-07,1.07104415808e-09,5.76055556201e-08
1792.7,4.06e-05,1.5e-06,0.05,5.12669699322e-07,4.28648078421e-07,1.07107849155e-09,5.76111437661e-08
1792.8,4.06e-05,1.5e-06,0.05,5.1265059292e-07,4.28661562166e-07,1.07111282278e-09,5.76167320913e-08
1792.9,4.06e-05,1.5e-06,0.05,5.12631487231e-07,4.28675045022e-07,1.07114715175e-09,5.76223205956e-08
1793.0,4.06e-05,1.5e-06,0.05,5.12612382254e-07,4.28688526989e-07,1.07118147846e-09,5.76279092789e-08
1793.1,4.06e-05,1.5e-06,0.05,5.12593277989e-07,4.28702008067e-07,1.07121580292e-09,5.76334981414e-08
1793.2,4.06e-05,1.5e-06,0.05,5.12574174435e-07,4.28715488256e-07,1.07125012513e-09,5.76390871829e-08
1793.3,4.06e-05,1.5e-06,0.05,5.12555071594e-07,4.28728967557e-07,1.07128444509e-09,5.76446764035e-08
1793.4,4.06e-05,1.5e-06,0.05,5.12535969465e-07,4.28742445969e-07,1.07131876279e-09,5.76502658032e-08
1793.5,4.06e-05,1.5e-06,0.05,5.12516868047e-07,4.28755923492e-07,1.07135307824e-09,5.76558553819e-08
1793.6,4.06e-05,1.5e-06,0.05,5.12497767342e-07,4.28769400127e-07,1.07138739144e-09,5.76614451396e-08
1793.7,4.06e-05,1.5e-06,0.05,5.12478667348e-07,4.28782875873e-07,1.07142170239e-09,5.76670350764e-08
1793.8,4.06e-05,1.5e-06,0.05,5.12459568066e-07,4.28796350731e-07,1.07145601108e-09,5.76726251922e-08
1793.9,4.06e-05,1.5e-06,0.05,5.12440469496e-07,4.28809824699e-07,1.07149031752e-09,5.76782154869e-08
1794.0,4.06e-05,1.5e-06,0.05,5.12421371638e-07,4.2882329778e-07,1.07152462171e-09,5.76838059607e-08
1794.1,4.06e-05,1.5e-06,0.05,5.12402274491e-07,4.28836769972e-07,1.07155892364e-09,5.76893966134e-08
1794.2,4.06e-05,1.5e-06,0.05,5.12383178056e-07,4.28850241275e-07,1.07159322333e-09,5.7694987445e-08
1794.3,4.06e-05,1.5e-06,0.05,5.12364082333e-07,4.2886371169e-07,1.07162752076e-09,5.77005784557e-08
1794.4,4.06e-05,1.5e-06,0.05,5.12344987322e-07,4.28877181217e-07,1.07166181594e-09,5.77061696452e-08
1794.5,4.06e-05,1.5e-06,0.05,5.12325893022e-07,4.28890649855e-07,1.07169610887e-09,5.77117610137e-08
1794.6,4.06e-05,1.5e-06,0.05,5.12306799434e-07,4.28904117606e-07,1.07173039954e-09,5.77173525611e-08
1794.7,4.06e-05,1.5e-06,0.05,5.12287706557e-07,4.28917584468e-07,1.07176468797e-09,5.77229442874e-08
1794.8,4.06e-05,1.5e-06,0.05,5.12268614392e-07,4.28931050441e-07,1.07179897414e-09,5.77285361926e-08
1794.9,4.06e-05,1.5e-06,0.05,5.12249522938e-07,4.28944515527e-07,1.07183325806e-09,5.77341282767e-08
1795.0,4.06e-05,1.5e-06,0.05,5.12230432196e-07,4.28957979724e-07,1.07186753973e-09,5.77397205396e-08
1795.1,4.06e-05,1.5e-06,0.05,5.12211342166e-07,4.28971443034e-07,1.07190181915e-09,5.77453129814e-08
1795.2,4.06e-05,1.5e-06,0.05,5.12192252847e-07,4.28984905455e-07,1.07193609632e-09,5.77509056021e-08
1795.3,4.06e-05,1.5e-06,0.05,5.12173164239e-07,4.28998366988e-07,1.07197037124e-09,5.77564984015e-08
1795.4,4.06e-05,1.5e-06,0.05,5.12154076343e-07,4.29011827633e-07,1.0720046439e-09,5.77620913798e-08
1795.5,4.06e-05,1.5e-06,0.05,5.12134989158e-07,4.29025287391e-07,1.07203891432e-09,5.77676845369e-08
1795.6,4.06e-05,1.5e-06,0.05,5.12115902684e-07,4.2903874626e-07,1.07207318248e-09,5.77732778728e-08
1795.7,4.06e-05,1.5e-06,0.05,5.12096816922e-07,4.29052204242e-07,1.0721074484e-09,5.77788713875e-08
1795.8,4.06e-05,1.5e-06,0.05,5.12077731871e-07,4.29065661336e-07,1.07214171206e-09,5.77844650809e-08
1795.9,4.06e-05,1.5e-06,0.05,5.12058647532e-07,4.29079117542e-07,1.07217597347e-09,5.77900589531e-08
1796.0,4.06e-05,1.5e-06,0.05,5.12039563903e-07,4.2909257286e-07,1.07221023263e-09,5.77956530041e-08
