time,GlucoseGA3P,GA3PDHAP,DHAPG3P,G3PGlycerol,GA3PPyruvate,PyruvateAlphaAcetolactate,AlphaAcetolactateDiacetyl,DiacetylAcetoin,AcetoinBDO,PyruvateAcetylaldehyde,AcetylaldehydeAcetoin,AcetylaldehydeAcetate,AcetateEthanol,Glucose,GA3P,DHAP,G3P,Glycerol,Pyruvate,AlphaAcetolactate,Diacetyl,Acetoin,BDO,Acetylaldehyde,Acetate,Ethanol
35.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.002625e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000927917485378,1.66666666667e+99,0.00142481073505,8.04513650693e-05,7.59410110814e-07,1.66666666667e+99,0.000107938226735,1.19827598534e-08,1.49678480135e-08,2.43679268204e-11,1.3789233513e-05,1.93431179026e-07,0.000429301502975
36.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0027e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000925883174193,1.66666666667e+99,0.00146596597723,8.32455502996e-05,8.09982700698e-07,1.66666666667e+99,0.00011108530919,1.25111506875e-08,1.5876104483e-08,2.64675748502e-11,1.3789233513e-05,1.93431179027e-07,0.000442201342023
37.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.002775e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000923850301842,1.66666666667e+99,0.00150711379462,8.60454608131e-05,8.62254794332e-07,1.66666666667e+99,0.000114232590438,1.30437835579e-08,1.68166993383e-08,2.86930991891e-11,1.3789233513e-05,1.93431179027e-07,0.000455101181072
38.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00285e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000921818871596,1.66666666667e+99,0.00154825455274,8.88507296098e-05,9.16227883176e-07,1.66666666667e+99,0.000117380070479,1.35804081362e-08,1.77898799471e-08,3.1048920375e-11,1.3789233513e-05,1.93431179027e-07,0.00046800102012
39.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.002925e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000919788886734,1.66666666667e+99,0.00158938859068,9.16610163107e-05,9.71903236492e-07,1.66666666667e+99,0.00012052774931,1.41207889536e-08,1.87958787849e-08,3.35394916055e-11,1.3789233513e-05,1.93431179027e-07,0.000480900859169
40.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.00091776035054,1.66666666667e+99,0.00163051622366,9.44760046551e-05,1.02928191765e-06,1.66666666667e+99,0.000123675626931,1.46647045192e-08,1.98349143185e-08,3.61692967706e-11,1.3789233513e-05,1.93431179027e-07,0.000493800698217
41.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003075e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000915733266308,1.66666666667e+99,0.00167163774514,9.72954002859e-05,1.08836479888e-06,1.66666666667e+99,0.000126823703339,1.52119464896e-08,2.09071918379e-08,3.89428486025e-11,1.3789233513e-05,1.93431179027e-07,0.000506700537265
42.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00315e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.00091370763734,1.66666666667e+99,0.00171275342887,0.000100118928784,1.14915257479e-06,1.66666666667e+99,0.000129971978534,1.57623188891e-08,2.20129042384e-08,4.18646869348e-11,1.3789233513e-05,1.93431179027e-07,0.000519600376314
43.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003225e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000911683466944,1.66666666667e+99,0.00175386353054,0.000102946333917,1.21164577454e-06,1.66666666667e+99,0.000133120452514,1.63156373751e-08,2.31522327566e-08,4.49393770659e-11,1.3789233513e-05,1.93431179027e-07,0.000532500215362
44.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0033e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000909660758437,1.66666666667e+99,0.00179496828938,0.00010577737608,1.2758447731e-06,1.66666666667e+99,0.000136269125277,1.68717285477e-08,2.4325347662e-08,4.81715082183e-11,1.3789233513e-05,1.93431179027e-07,0.000545400054411
